Name,Artist,Popularity,img,Release date,Genre,Subgenre
Lights Up,Harry Styles,74,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,2019-10-11,pop,post-teen pop
Summer Of '69,Bryan Adams,1,https://i.scdn.co/image/ab67616d0000b273cf1fee2a55e98e22bf358512,2005-01-01,rock,hard rock
Dusk Till Dawn - Radio Edit,ZAYN,81,https://i.scdn.co/image/ab67616d0000b27323852b7ef0ecfe29d38d97ee,2017-09-07,pop,dance pop
Piece Of Your Heart,MEDUZA,30,https://i.scdn.co/image/ab67616d0000b273ead13021d0f2957958081f28,2019-02-01,pop,post-teen pop
Story of My Life,One Direction,80,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,2013-11-25,pop,dance pop
What Makes You Beautiful,One Direction,78,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e,2012-05-25,pop,post-teen pop
El Efecto,Rauw Alejandro,78,https://i.scdn.co/image/ab67616d0000b273976be14b5e8f1e7b5d8e340c,2019-03-15,latin,reggaeton
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,83,https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec,2012-10-09,pop,post-teen pop
Money In The Grave (Drake ft. Rick Ross),Drake,88,https://i.scdn.co/image/ab67616d0000b2733f3b653b0a7b9e889a712c3d,2019-06-15,rap,hip hop
Roses - Imanbek Remix,SAINt JHN,72,https://i.scdn.co/image/ab67616d0000b27369450869a3ffaf23bc3898bf,2019-09-13,pop,dance pop
Sign of the Times,Harry Styles,80,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,2017-05-12,rock,permanent wave
Like That (feat. Gucci Mane),Doja Cat,73,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533,2019-11-07,r&b,hip pop
i love you,Billie Eilish,85,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,2019-03-29,r&b,urban contemporary
When I Was Your Man,Bruno Mars,82,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,2012-12-07,latin,latin hip hop
